batting_team,bowling_team,venue,gender,runs_y,result_first_innings
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
London Spirit,Birmingham Phoenix,Edgbaston,male,144,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Southern Brave,Trent Rockets,Trent Bridge,male,126,0
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
Welsh Fire,Northern Superchargers,Headingley,male,173,1
